pregunta,respuesta_referencia
Defina qué es una PQRSDF,"Petición, Queja, Reclamo, Sugerencia, Denuncia y Felicitación."
Defina qué es una petición o derecho de petición,Es toda actuación que inicie cualquier persona ante las autoridades. Se entiende que la persona hace uso del derecho de petición cuando eleva una solicitud ante las autoridades. No necesario invocar que eleva la solicitud en virtud del artículo 23 de la Constitución Nacional para que se entienda que es un Derecho de Petición.
Defina qué es una queja,"Es una modalidad del Derecho de Petición. Manifestación de no conformidad, insatisfacción, desagrado o descontento por deficiencia en la atención o el servicio al usuario."
Defina qué es un reclamo,"Es una modalidad del Derecho de Petición. Manifestación de no conformidad, insatisfacción, desagrado o descontento con el producto o servicio adquirido."
Defina qué es una sugerencia,"Es una modalidad del Derecho de Petición. Proposición, idea o propuesta que las partes interesadas presentan con el objetivo de plantear una acción para adecuar o mejorar algún servicio, producto o proceso de la Institución."
Defina qué es una denuncia,"Notificación que se hace a las autoridades de la institución cuyo objeto es señalar que alguien es el autor de una falta contra la POLÍTICA DE ÉTICA Y BUEN GOBIERNO del Politécnico Grancolombiano. Para tal efecto, las denuncias se tramitan a través de la plataforma denominada ETHICSPOINT."
Defina qué es una felicitación,Manifestación que utilizan las partes interesadas para expresar su satisfacción frente a los servicios de la Institución.
Defina qué es una consulta,"Es una modalidad del Derecho de Petición. Solicitud de que la Institución exprese su opinión o su concepto en relación con las materias a su cargo. En virtud del artículo 28 de la Ley 1755 de 2015, salvo disposición legal en contrario, los conceptos emitidos como respuesta a peticiones realizadas en ejercicio del derecho a formular consultas no serán de obligatorio cumplimiento o ejecución."
Defina qué es la política de ética y buen gobierno,"Documento en el que están contenidos los principios, políticas, prácticas y medidas de dirección, administración y control, orientados a instaurar, promover, fortalecer, reforzar y garantizar una cultura basada en actuaciones éticas, íntegras, transparentes y eficientes, para asegurar que su comunidad y las personas con las que se tiene relación adopten estas prácticas, respondan y evidencien una excelente gestión en cada una de las actividades desarrolladas en la Institución."
Defina qué son las notificaciones judiciales,Comunicaciones remitidas por cualquier despacho judicial o entidad pública para efectos judiciales o administrativos.
Defina qué es un concepto,Criterio de orientación y lineamiento jurídico expedido por la Jefatura de PQR que tiene carácter vinculante para sus destinatarios. Es de obligatorio cumplimiento.
Requerimientos judiciales o administrativos,Oficios con instrucciones de entidades públicas. Son obligatorios y sujetos a términos.
Grupo de interés,Personas o entidades que puedan verse afectadas por la actividad de la Institución.
Estudiante,"Persona con matrícula vigente, con derecho a cursar el programa académico."
Egresado,Persona que cursó semestres pero no se graduó.
Graduado,Persona que cursó estudios y recibió título en la Institución.
Plataforma FILENET,"Plataforma para radicar PQRSDF de colaboradores, proveedores y terceros."
Plataforma CRM,"Plataforma para radicar PQRSDF de estudiantes, egresados y graduados."
Asesores de servicio,"Funcionarios que orientan y aseguran atención adecuada a estudiantes, egresados y graduados."
Asesores de CSU,"Funcionarios en CSU que reciben y radican solicitudes, guiando institucionalmente."
Radicación,Acto de recibir formalmente una PQRSDF a través de un canal autorizado y asignarle un número de radicado.
Número de radicado,Identificador único asignado a cada PQRSDF para su seguimiento y respuesta formal.
Canal autorizado,"Medio institucional oficial definido para radicar PQRSDF, como CRM, FILENET, correo oficial o atención presencial."
CRM,"Plataforma utilizada para gestionar PQRSDF de estudiantes, egresados y graduados."
FILENET,"Plataforma para gestionar PQRSDF de colaboradores, proveedores, terceros y requerimientos judiciales."
Gerencia de Servicio,"Encargada de responder PQRSDF cuando no son requerimientos judiciales, centraliza procesos de servicio."
Secretaría General,"Área responsable de responder derechos de petición, quejas, reclamos y requerimientos judiciales."
Remisión por competencia,Procedimiento mediante el cual se traslada una PQRSDF recibida por canal no autorizado a un canal oficial.
Trámite de PQRSDF,"Etapas establecidas para recibir, analizar, tramitar, responder y notificar una PQRSDF."
Requerimiento judicial,Solicitud proveniente de entidad judicial que obliga a la Institución a responder formalmente en términos legales.
Requerimiento administrativo,"Solicitud de una entidad pública con indicaciones obligatorias de dar, hacer o no hacer, con base legal."
Notificación,Comunicación formal al remitente que informa sobre la respuesta o estado de su PQRSDF.
Oficio remisorio,Documento estándar usado para transferir una PQRSDF a la Gerencia de Servicio o Gestión Documental para su radicación.
Canal no oficial,Medio no establecido oficialmente por la Institución para la recepción de PQRSDF (ej. correos personales o directos).
Término legal de respuesta,"Plazos establecidos por ley para responder PQRSDF, como 15 días hábiles para peticiones generales."
Consulta verbal,"Solicitud realizada verbalmente en las oficinas designadas, que debe ser radicada y registrada formalmente."
Describa a quiénes está destinado el Reglamento Estudiantil del Politécnico Grancolombiano,"El Reglamento Estudiantil está dirigido a toda la comunidad universitaria del Politécnico Grancolombiano. Su propósito es asegurar la calidad del servicio educativo, definir los derechos y deberes de los estudiantes, estimular su participación en el desarrollo académico y promover los principios y valores institucionales."
Enliste los qué requisitos debe cumplir un aspirante para ser admitido en un programa de pregrado en el Politécnico Grancolombiano,"Los requisitos de admisión incluyen:
- Diligenciar el formulario de inscripción dentro de las fechas establecidas.
- Presente los resultados de la Prueba de Estado según el nivel de formación.
- Presente copia del documento de identidad y una foto de fondo blanco.
- Presentar el título de bachiller o su equivalente en el exterior.
- Pagar los derechos establecidos.
- Realizar el proceso de selección determinado por la institución. En el caso de estudiantes extranjeros, deben presentar el título apostillado y cumplir con los requisitos legales establecidos."
Enliste las sanciones que puede recibir un estudiante por cometer una falta disciplinaria en la universidad Politécnico Grancolombiano,"Las sanciones pueden variar dependiendo de la gravedad de la falta:
- Faltas leves: Amonestación verbal o escrita.
- Faltas tumbas: Suspensión temporal del estudiante.
- Faltas gravísimas: Expulsión de la institución. Además, pueden aplicarse sanciones accesorias como la inhabilidad para participar en actividades institucionales, cancelación de matrícula o restricción en el acceso a beneficios académicos."
Describa los tiempos de respuesta para una PQRSDF según la Ley 1755 de 2015,"La Ley 1755 de 2015 establece los siguientes tiempos de respuesta para las PQRSDF:
- Petición, queja, reclamo, sugerencia, felicitación: 15 días hábiles.
- Petición de información: 10 días hábiles.
- Consulta: 30 días hábiles."
Describa las sanciones por incumplimiento de las políticas de radicación de PQRSDF,"Los funcionarios, proveedores o contratistas que cumplan con las normas establecidas en el manual pueden enfrentar las siguientes sanciones:
1.	Llamado de atención.
2.	Medida disciplinaria.
3.	Terminación unilateral del contrato de trabajo si la omisión causa graves consecuencias para la institución."
¿Cuál es el propósito del Reglamento de Profesores del Politécnico Grancolombiano?,"El Reglamento de Profesores tiene como propósito establecer las políticas y normas que rigen la vinculación, permanencia, escalafón, derechos, deberes, incentivos y régimen disciplinario de los profesores de la Institución Universitaria Politécnico Grancolombiano. Su objetivo es asegurar la calidad académica y la excelencia en la docencia, investigación y proyección social."
Enliste las diferentes modalidades que existen en la Universidad Politécnico Grancolombiano,"El Politécnico Grancolombiano clasifica a los profesores en tres modalidades:
- Profesor de Planta: Vinculado de tiempo completo o medio tiempo con contrato a término indefinido.
- Profesor de Cátedra u Ocasional: Contratado por un período académico determinado bajo la modalidad de obra o laboral.
- Profesor Visitante: Vinculado temporalmente por convenio de movilidad nacional o internacional, o por contrato específico."
